city,country,airport,climate,avg_cost,accessibility,interests,description
San Jose,Costa Rica,SJO,warm,2322,true,nature|adventure|relaxation,A curated warm travel starting point in San Jose with nature and adventure.
Edinburgh,United Kingdom,EDI,cold,2322,true,history|culture|food,A curated cold travel starting point in Edinburgh with history and culture.
Athens,Greece,ATH,warm,2322,true,history|culture|food,A curated warm travel starting point in Athens with history and culture.
Seoul,South Korea,ICN,mild,2322,true,food|culture|nightlife,A curated mild travel starting point in Seoul with food and culture.
Melbourne,Australia,MEL,mild,2322,true,food|culture|nature,A curated mild travel starting point in Melbourne with food and culture.
Montreal,Canada,YUL,cold,2322,true,food|culture|history,A curated cold travel starting point in Montreal with food and culture.
Cartagena,Colombia,CTG,warm,2322,true,beach|food|history,A curated warm travel starting point in Cartagena with beach and food.
Valencia,Spain,VLC,mild,2459,true,food|culture|beach,A curated mild travel starting point in Valencia with food and culture.
Marrakesh,Morocco,RAK,warm,2459,true,food|culture|history,A curated warm travel starting point in Marrakesh with food and culture.
Auckland,New Zealand,AKL,mild,2459,true,nature|adventure|food,A curated mild travel starting point in Auckland with nature and adventure.
San Jose,Costa Rica,SJO,warm,2459,true,nature|adventure|relaxation,A curated warm travel starting point in San Jose with nature and adventure.
Edinburgh,United Kingdom,EDI,cold,2459,true,history|culture|food,A curated cold travel starting point in Edinburgh with history and culture.
Athens,Greece,ATH,warm,2459,true,history|culture|food,A curated warm travel starting point in Athens with history and culture.
Seoul,South Korea,ICN,mild,2459,true,food|culture|nightlife,A curated mild travel starting point in Seoul with food and culture.
Melbourne,Australia,MEL,mild,2459,true,food|culture|nature,A curated mild travel starting point in Melbourne with food and culture.
Montreal,Canada,YUL,cold,2459,true,food|culture|history,A curated cold travel starting point in Montreal with food and culture.
Cartagena,Colombia,CTG,warm,2459,true,beach|food|history,A curated warm travel starting point in Cartagena with beach and food.
Valencia,Spain,VLC,mild,2596,true,food|culture|beach,A curated mild travel starting point in Valencia with food and culture.
Marrakesh,Morocco,RAK,warm,2596,true,food|culture|history,A curated warm travel starting point in Marrakesh with food and culture.
Auckland,New Zealand,AKL,mild,2596,true,nature|adventure|food,A curated mild travel starting point in Auckland with nature and adventure.
San Jose,Costa Rica,SJO,warm,2596,true,nature|adventure|relaxation,A curated warm travel starting point in San Jose with nature and adventure.
Edinburgh,United Kingdom,EDI,cold,2596,true,history|culture|food,A curated cold travel starting point in Edinburgh with history and culture.
Athens,Greece,ATH,warm,2596,true,history|culture|food,A curated warm travel starting point in Athens with history and culture.
Seoul,South Korea,ICN,mild,2596,true,food|culture|nightlife,A curated mild travel starting point in Seoul with food and culture.
Melbourne,Australia,MEL,mild,2596,true,food|culture|nature,A curated mild travel starting point in Melbourne with food and culture.
Montreal,Canada,YUL,cold,2596,true,food|culture|history,A curated cold travel starting point in Montreal with food and culture.
Cartagena,Colombia,CTG,warm,2596,true,beach|food|history,A curated warm travel starting point in Cartagena with beach and food.
Valencia,Spain,VLC,mild,2733,true,food|culture|beach,A curated mild travel starting point in Valencia with food and culture.
Marrakesh,Morocco,RAK,warm,2733,true,food|culture|history,A curated warm travel starting point in Marrakesh with food and culture.
Auckland,New Zealand,AKL,mild,2733,true,nature|adventure|food,A curated mild travel starting point in Auckland with nature and adventure.
San Jose,Costa Rica,SJO,warm,2733,true,nature|adventure|relaxation,A curated warm travel starting point in San Jose with nature and adventure.
Edinburgh,United Kingdom,EDI,cold,2733,true,history|culture|food,A curated cold travel starting point in Edinburgh with history and culture.
Athens,Greece,ATH,warm,2733,true,history|culture|food,A curated warm travel starting point in Athens with history and culture.
Seoul,South Korea,ICN,mild,2733,true,food|culture|nightlife,A curated mild travel starting point in Seoul with food and culture.
Melbourne,Australia,MEL,mild,2733,true,food|culture|nature,A curated mild travel starting point in Melbourne with food and culture.
Montreal,Canada,YUL,cold,2733,true,food|culture|history,A curated cold travel starting point in Montreal with food and culture.
Cartagena,Colombia,CTG,warm,2733,true,beach|food|history,A curated warm travel starting point in Cartagena with beach and food.
